uname,filename,status,fullname,affil
archana777,paper040.pdf,Poster,"Ms. Archana Saxena","Department of Physics, Indian Institute of Technology Roorkee"
agotiya,paper253.pdf,Poster,"Dr. V. K. Agotiya","Centre for Applied Physics, Central University of Jharkhand"
sentil,,,"Mr. M T Senthil Kannan","Department of Phyics, Bharathiar University"
bnjoshi,paper088.pdf,Poster,"Mr. Bhushan Joshi","Nuclear Physics Division, Bhabha Atomic Research Centre"
pbansal11,paper156.pdf,Poster,"Ms. Preeti Bansal","Department of Phyiscs, Panjab University"
nishchal,paper386.pdf,Poster,"Mr. Nishchal Dwivedi","Nuclear Physics Division, Bhabha Atomic Research Centre"
vijayantnp,paper155.pdf,Poster,"Mr. K. R. Vijayaraghavan","Department of Physics, Alagappa Chettiar College of Engineering and Technology"
sukanyade,paper160.pdf,Poster,"Ms. Sukanya De","Nuclear Physics Division, Bhabha Atomic Research Centre"
adash,paper159.pdf,Poster,"Dr. Ajay Kumar Dash","School of Physical Sciences, National Institute of Science Education and Research^ Hbni"
guri25,paper158.pdf,Poster,"Ms. Gurjit Kaur","School of Physics & Material Science, Thapar University"
nebil,paper660.pdf,ThesisPoster,"Ms. Neha Grover","School of Physics & Material Science, Thapar University"
kanishka18,paper069.pdf,Poster,"Ms. Kanishka Sharma","School of Physics & Material Science, Thapar University"
mani_voc,paper202.pdf,Poster,"Mr. S Subramanian","Physics, V. O. Chidambaram College"
saroj123,paper161.pdf,Poster,"Ms. Saroj Bishnoi","Technical Physics Division, Bhabha Atomic Research Centre"
hardev,paper541.pdf,Poster,"Dr. Hardev Singh","Department of Physics, Kurukshetra University"
honey,paper514.pdf,Poster,"Ms. Honey Arora","Department of Phyiscs, Panjab University"
awanish,paper246.pdf,Poster,"Mr. Awanish Kumar Bajpeyi"," , Rajiv Gandhi Institute of Petroleum Technology"
khushnood,paper182.pdf,Poster,"Dr. Khushnood Husain","Department of Physics, Jamia Millia Islamia"
charudev14,paper226.pdf,Poster,"Ms. Bharti Bhoy","Department of Physics, Indian Institute of Technology Roorkee"
pallavi91,paper189.pdf,Poster,"Ms. Pallavi Gupta","School of Physics & Material Science, Thapar University"
akranjan,paper191.pdf,Poster,"Dr. Akhilesh Ranjan","Department of Physics, Manipal Institute of Technology^ Manipal University"
umapathy,paper542.pdf,Poster,"Mr. G. R. Umapathy"," , Inter University Accelerator Centre"
ssharma,paper685.pdf,Unknown,"Dr. Sushil Sharma"," , Jagiellonian University"
jchhokar,paper300.pdf,Poster,"Ms. Jyoti Chhokar"," , Jagiellonian University"
p.p.,,,"Mr. P.P. Shukla","Applied Physics, m.j.p.rohilkhand University^Bareilly"
m.saleem,paper524.pdf,Poster,"Dr. M.Saleem Khan","Applied Physics, m.j.p.rohilkhand University^Bareilly"
bhanumd,paper205.pdf,Poster,"Dr. B.M. Dixit","Department of Physics, Shri Ramswaroop Memorial University"
shareefm,paper210.pdf,Poster,"Mr. M Shareef","Department of Physics, Central University of Kerala"
dae16_sm,paper211.pdf,Poster,"Ms. Shabnam Mohsina","Theoretical Physics Division, Variable Energy Cyclotron Centre"
dalip,paper220.pdf,Poster,"Dr. Dalip Singh Verma","Physics and Astronomical Sciences, Central University of Himachal Pradesh"
mdsamsul,paper385.pdf,Poster,"Mr. Md Samsul Islam","High Energy Nuclear and Particle Physics Division, Saha Institute of Nuclear Physics"
suram1,paper227.pdf,Poster,"Dr. Suram Singh","Department of Physics and Astronomical Sciences, Central University of Jammu"
dhanvir,,,"Mr. Dhanvir Singh","Department of Physics, University of Jammu"
nbehera,paper231.pdf,Poster,"Ms. Nirupama Behera","Department of Physics, Sambalpur University"
munna,paper290.pdf,Poster,"Mr. Munna Dan","Department of Physics, Indian Institute of Technology Roorkee"
sajad123,paper285.pdf,Poster,"Mr. Sajad Ali","Nuclear Physics Division, Saha Institute of Nuclear Physics"
harish,paper249.pdf,Poster,"Mr. Harish Kumar","Department of Phyiscs, Aligarh Muslim University"
vrnsvd,,,"Mr. Varun Savadi","Physics, University of Petroleum and Energy Studies"
ilajoshi,paper256.pdf,Poster,"Ms. Ila Joshi","Department of Physics, Kumaun University"
kalyan_dey,,,"Mr. Kalyan Dey","Department of Physics, Bodoland University"
avibcb,paper422.pdf,Poster,"Dr. Avinash Agarwal","Department of Physics, Bareilly College"
sp266413,paper261.pdf,Poster,"Mr. Som Nath Paneru","Physics and Astronomy, Ohio University"
hashimamu,paper265.pdf,Poster,"Mr. Hashim Mir","Department of Physics, Islamic University of Science and Technology"
vipinsep25,,,"Mr.  Vipin Naik N S","Physics, St. Philomena College"
pradyumna,,,"Mr. Pradyumna Sethy","Physics, Kirorimal College^ University of Delhi^ Delhi"
pbapatdae,paper432.pdf,Poster,"Dr. Prasad N Bapat","Department of Physics, Vivekananda College of Engineering and Technology"
